dataset,proposed_model,baseline_mean_MAPE,proposed_mean_MAPE,wins,ties,losses,wilcoxon_p,significant
batlik/corona,RandomForest,12.1224,3.7039,30,0,0,0.0,True
batlik/cranium,RandomForest,3.3415,2.0949,30,0,0,0.0,True
batlik/cubus,RandomForest,3.94,2.0571,30,0,0,0.0,True
batlik/flame,RandomForest,3.2112,2.191,30,0,0,0.0,True
batlik/france,RandomForest,3.9715,2.3883,30,0,0,0.0,True
batlik/frisco,RandomForest,5.0996,3.2524,30,0,0,0.0,True
batlik/jelly,RandomForest,17.0293,2.6996,30,0,0,0.0,True
batlik/karte,RandomForest,15.0507,3.4831,30,0,0,0.0,True
batlik/mandelbrot,RandomForest,4.6435,2.1361,30,0,0,0.0,True
batlik/strawberry,RandomForest,5.4608,2.4615,30,0,0,0.0,True
batlik/village,RandomForest,56.7658,4.2186,30,0,0,0.0,True
dconvert/jpeg-large,RandomForest,13.5674,2.9547,30,0,0,0.0,True
dconvert/jpeg-medium,RandomForest,10.2683,2.3999,30,0,0,0.0,True
dconvert/jpeg-small,RandomForest,3.4835,3.3989,29,0,1,0.0,True
dconvert/png-large,RandomForest,9.2979,2.61,30,0,0,0.0,True
dconvert/png-medium,RandomForest,3.5448,2.7495,30,0,0,0.0,True
dconvert/png-small,RandomForest,3.3022,3.4826,0,0,30,0.0,True
dconvert/psd-large,RandomForest,1.4334,1.5901,0,0,30,0.0,True
dconvert/psd-medium,RandomForest,5.1927,2.5565,30,0,0,0.0,True
dconvert/psd-small,RandomForest,3.5612,3.7572,0,0,30,0.0,True
dconvert/svg-large,RandomForest,2.0512,2.3475,0,0,30,0.0,True
dconvert/svg-medium,RandomForest,1.7221,1.9296,0,0,30,0.0,True
dconvert/svg-small,RandomForest,3.5828,2.5756,30,0,0,0.0,True
h2/smallbank-1,RandomForest,5.6504,3.7777,30,0,0,0.0,True
h2/smallbank-10,RandomForest,4.5462,2.2137,30,0,0,0.0,True
h2/tpcc-2,RandomForest,4.1638,2.8203,30,0,0,0.0,True
