dataset,model,MAPE_mean,MAPE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
batlik/corona,LinearRegression,12.1224,0.3911,0.1808,0.0054,0.2615,0.0094
batlik/corona,RandomForest,3.7039,0.1177,0.0542,0.0019,0.0739,0.0038
batlik/cranium,LinearRegression,3.3415,0.107,0.0697,0.0022,0.0974,0.0032
batlik/cranium,RandomForest,2.0949,0.0616,0.0413,0.0012,0.0541,0.0017
batlik/cubus,LinearRegression,3.94,0.0994,0.2431,0.0066,0.3332,0.0096
batlik/cubus,RandomForest,2.0571,0.0644,0.126,0.0041,0.1629,0.0057
batlik/flame,LinearRegression,3.2112,0.0867,0.058,0.0017,0.0771,0.0021
batlik/flame,RandomForest,2.191,0.066,0.0391,0.0012,0.0498,0.0017
batlik/france,LinearRegression,3.9715,0.0837,0.1462,0.0034,0.1925,0.0044
batlik/france,RandomForest,2.3883,0.071,0.0828,0.0025,0.1063,0.0035
batlik/frisco,LinearRegression,5.0996,0.1499,0.2473,0.0077,0.3323,0.0126
batlik/frisco,RandomForest,3.2524,0.1121,0.1501,0.005,0.1913,0.0065
batlik/jelly,LinearRegression,17.0293,0.5192,0.3246,0.007,0.4448,0.0188
batlik/jelly,RandomForest,2.6996,0.127,0.05,0.0037,0.081,0.0096
batlik/karte,LinearRegression,15.0507,0.2813,1.4907,0.0218,1.864,0.0395
batlik/karte,RandomForest,3.4831,0.192,0.3816,0.0174,0.4801,0.0202
batlik/mandelbrot,LinearRegression,4.6435,0.127,0.0615,0.0018,0.0843,0.0024
batlik/mandelbrot,RandomForest,2.1361,0.0749,0.0276,0.001,0.0361,0.0014
batlik/strawberry,LinearRegression,5.4608,0.1528,0.094,0.0029,0.131,0.005
batlik/strawberry,RandomForest,2.4615,0.0768,0.0394,0.0014,0.0506,0.0019
batlik/village,LinearRegression,56.7658,2.4027,1.7999,0.0404,2.471,0.1082
batlik/village,RandomForest,4.2186,0.3318,0.1618,0.0175,0.3747,0.0706
dconvert/jpeg-large,LinearRegression,13.5674,0.2689,0.4179,0.0068,0.5617,0.0107
dconvert/jpeg-large,RandomForest,2.9547,0.0561,0.0998,0.0024,0.1455,0.0041
dconvert/jpeg-medium,LinearRegression,10.2683,0.194,0.1779,0.003,0.2397,0.0048
dconvert/jpeg-medium,RandomForest,2.3999,0.0366,0.0427,0.0008,0.0595,0.0015
dconvert/jpeg-small,LinearRegression,3.4835,0.0549,0.0149,0.0002,0.019,0.0004
dconvert/jpeg-small,RandomForest,3.3989,0.0502,0.0146,0.0002,0.0189,0.0003
dconvert/png-large,LinearRegression,9.2979,0.1224,0.219,0.0025,0.2789,0.0048
dconvert/png-large,RandomForest,2.61,0.041,0.0636,0.0011,0.0853,0.0015
dconvert/png-medium,LinearRegression,3.5448,0.0426,0.023,0.0003,0.029,0.0004
dconvert/png-medium,RandomForest,2.7495,0.0438,0.0174,0.0003,0.0221,0.0003
dconvert/png-small,LinearRegression,3.3022,0.0325,0.0148,0.0002,0.0196,0.0004
dconvert/png-small,RandomForest,3.4826,0.0473,0.0156,0.0002,0.0207,0.0004
dconvert/psd-large,LinearRegression,1.4334,0.0182,0.5371,0.0084,0.876,0.0227
dconvert/psd-large,RandomForest,1.5901,0.0353,0.5946,0.0166,1.0107,0.0263
dconvert/psd-medium,LinearRegression,5.1927,0.0667,0.0674,0.0009,0.0892,0.0017
dconvert/psd-medium,RandomForest,2.5565,0.0326,0.033,0.0004,0.0425,0.0006
dconvert/psd-small,LinearRegression,3.5612,0.0492,0.0199,0.0003,0.0248,0.0004
dconvert/psd-small,RandomForest,3.7572,0.0553,0.021,0.0003,0.0266,0.0004
dconvert/svg-large,LinearRegression,2.0512,0.0281,0.0309,0.0005,0.0397,0.0008
dconvert/svg-large,RandomForest,2.3475,0.0365,0.0354,0.0006,0.0455,0.0007
